org,tweet number,tweet,timestamp,compound,positive,neutral,negative
BBC,51,"""Disturbing"" level of lead contamination in Canadian drinking water, study finds https://t.co/R2C2rMgB25",2019-11-04 17:08:53+00:00,0.0,0.0,0.0,0.0
BBC,52,Checkpoint Charlie: Berlin bans 'US soldiers' from Cold War crossing https://t.co/PuMpnf4n1o,2019-11-04 17:06:30+00:00,-0.5994,-0.5994,-0.5994,-0.5994
BBC,53,Celebrities wish Canadian boy happy birthday after no one showed up for his party 🎂https://t.co/ZO9T7rMfxr,2019-11-04 16:50:06+00:00,0.7845,0.7845,0.7845,0.7845
BBC,54,RT @BBCNewsAus: Melbourne Cup: Will Australian racing overcome cruelty scandals? https://t.co/YRO4VQpP7T,2019-11-04 16:37:03+00:00,-0.7964,-0.7964,-0.7964,-0.7964
BBC,55,"RT @BBCAfrica: ""Nobody believes in you when you tell them you have sickle cell.""

Ade Adebisi is the British-Nigerian challenging the perce…",2019-11-04 16:29:29+00:00,0.1531,0.1531,0.1531,0.1531
BBC,56,Leaders of South Korea and Japan meet to resolve dispute https://t.co/xBxmylbtXV,2019-11-04 16:21:46+00:00,-0.0258,-0.0258,-0.0258,-0.0258
BBC,57,Sim the school parrot celebrates his 70th birthday 🦜🎂https://t.co/Aoc97mkAVv,2019-11-04 16:00:23+00:00,0.5719,0.5719,0.5719,0.5719
BBC,58,"The former Soviet leader Mikhail Gorbachev has warned the world is in ""colossal danger""

In an interview with the BBC's Steve Rosenberg, former President Gorbachev called for all countries to destroy nuclear weapons

[tap to expand] https://t.co/ahsF8THm05 https://t.co/QKRAE9PrHp",2019-11-04 15:43:57+00:00,-0.8979,-0.8979,-0.8979,-0.8979
BBC,59,Gay Byrne: The leading Irish broadcaster of his era https://t.co/SWqIxAVepS,2019-11-04 15:25:24+00:00,0.0,0.0,0.0,0.0
BBC,60,"At least three were shot dead when protesters attacked the Iranian consulate in the Iraqi holy city of Karbala

The protesters demanded Iran stop interfering in Iraq's internal affairs

[tap to expand] https://t.co/X2TXljHnfa https://t.co/X33hNH9spO",2019-11-04 15:24:07+00:00,-0.9217,-0.9217,-0.9217,-0.9217
BBC,61,Judges accuse Delhi authorities of 'passing the buck' on air pollution problem https://t.co/0bknqnNvZq,2019-11-04 15:10:55+00:00,-0.5423,-0.5423,-0.5423,-0.5423
BBC,62,Veteran Irish broadcaster Gay Byrne dies aged 85 https://t.co/jrwNwhqXeN,2019-11-04 15:04:28+00:00,0.0,0.0,0.0,0.0
BBC,63,Lebanon anti-government protesters block roads to press demands https://t.co/282FkxUyVP,2019-11-04 14:51:26+00:00,-0.5859,-0.5859,-0.5859,-0.5859
BBC,64,UAE prisoners denied HIV treatment - Human Rights Watch https://t.co/8UIy8187Ok,2019-11-04 14:37:02+00:00,-0.7351,-0.7351,-0.7351,-0.7351
BBC,65,Air pollution: How three global cities tackle the problem https://t.co/IkYerp4vnG,2019-11-04 14:10:52+00:00,-0.4019,-0.4019,-0.4019,-0.4019
BBC,66,Nigerian army investigates torture video https://t.co/txyGjo4VQe,2019-11-04 13:48:28+00:00,-0.5994,-0.5994,-0.5994,-0.5994
BBC,67,"Thieves break into medieval cathedral in south-west France using log tied to roof of their car, authorities say https://t.co/XgxbLq64I5",2019-11-04 13:18:45+00:00,-0.5106,-0.5106,-0.5106,-0.5106
BBC,68,Violence against women: 'Day of the dead women' protest in Mexico City https://t.co/5YclMFPTnR,2019-11-04 12:55:36+00:00,-0.886,-0.886,-0.886,-0.886
BBC,69,"At least three people reportedly shot dead after protesters attack  Iranian consulate in the Iraqi holy city of Karbala
 https://t.co/RYO7EuJgHp",2019-11-04 12:23:26+00:00,-0.8519,-0.8519,-0.8519,-0.8519
BBC,70,Outrage after far-right party member criticises mixed-race teen playing Christ Child https://t.co/yWmQyNi3IF,2019-11-04 11:39:02+00:00,-0.2732,-0.2732,-0.2732,-0.2732
BBC,71,"""It is inspiring the country as a whole""

What does South Africa's Rugby World Cup win mean for team captain Siya Kolisi's hometown and the country generally?

[Tap to expand] https://t.co/AEY8kKZ4eQ https://t.co/bwnIKrNfzu",2019-11-04 11:29:16+00:00,0.765,0.765,0.765,0.765
BBC,72,'Gay conversion therapy' ban drafted in law in Germany https://t.co/TjFx6kPEbe,2019-11-04 11:12:35+00:00,-0.5574,-0.5574,-0.5574,-0.5574
BBC,73,Dozens of app users caught selling domestic workers have had their Instagram accounts suspended after authorities acted following the @BBCArabic investigation https://t.co/zqjdpC5DVx https://t.co/erbyiJemyh,2019-11-04 10:58:02+00:00,-0.4767,-0.4767,-0.4767,-0.4767
BBC,74,"RT @BBCSteveR: The last Soviet leader, Mikhail Gorbachev, tells me the world is in ""colossal danger."" I ask him about East-West tension...&amp;…",2019-11-04 10:54:40+00:00,0.0,0.0,0.0,0.0
BBC,75,Pirates kidnap nine from Norwegian ship off Benin https://t.co/H1W8cWPwcy,2019-11-04 10:45:31+00:00,0.0,0.0,0.0,0.0
BBC,76,Will quitting WhatsApp make your phone safer? https://t.co/iR51mprNFo,2019-11-04 10:26:03+00:00,0.4215,0.4215,0.4215,0.4215
BBC,77,RT @BBCNews: Essex lorry deaths: Vietnamese police arrest eight people https://t.co/iXLSE8DVGv,2019-11-04 10:21:22+00:00,-0.34,-0.34,-0.34,-0.34
BBC,78,Japan festival to show 'comfort women' film after backlash https://t.co/VLtCKTOpdZ,2019-11-04 10:19:02+00:00,0.6908,0.6908,0.6908,0.6908
BBC,79,Walter Mercado: Flamboyant TV astrologer adored by millions dies https://t.co/XdDKiLSXwn,2019-11-04 10:11:00+00:00,0.4215,0.4215,0.4215,0.4215
BBC,80,RT @BBCNews: Hong Kong 'protest' cake disqualified from UK competition https://t.co/U0b2MY9DDA,2019-11-04 10:01:35+00:00,-0.4215,-0.4215,-0.4215,-0.4215
BBC,81,WW2 Jewish survivors in rare reunion with Greek rescuer https://t.co/7TDVgoL7hy,2019-11-04 09:59:29+00:00,0.0,0.0,0.0,0.0
BBC,82,RT @BBCNews: Delhi air quality: Severe pollution drives car rationing https://t.co/T0Duq18Kw0,2019-11-04 09:10:06+00:00,-0.3818,-0.3818,-0.3818,-0.3818
BBC,83,RT @BBCNews: Lewis Hamilton: World champion 'doesn't know how I'm meant to feel' https://t.co/lJoqBHcEer,2019-11-04 09:09:56+00:00,0.5994,0.5994,0.5994,0.5994
BBC,84,"RT @SallyBundockBBC: I met my husband at work, we were colleagues at Bloomberg TV, did you meet your partner at work? Have you dated someon…",2019-11-04 08:02:12+00:00,0.0,0.0,0.0,0.0
BBC,85,Hong Kong 'protest' cake disqualified from UK competition https://t.co/I9qivAYIL1,2019-11-04 07:59:16+00:00,-0.4215,-0.4215,-0.4215,-0.4215
BBC,86,Australia take on England in jousting 'Ashes' https://t.co/N9PEZOGbk3,2019-11-04 05:08:50+00:00,0.0,0.0,0.0,0.0
BBC,87,Delhi air quality: Pollution drives officials to cut cars https://t.co/kGs0wAWJV7,2019-11-04 05:06:22+00:00,-0.2732,-0.2732,-0.2732,-0.2732
BBC,88,RT @SallyBundockBBC: #GretaThurnberg has got 28 days to get from California to a UN climate summit in Madrid. The teenage activist is askin…,2019-11-04 04:00:28+00:00,0.0,0.0,0.0,0.0
BBC,89,Powerful 'Putin's chef' Prigozhin cooks up murky deals https://t.co/x5E2SfvV4V,2019-11-04 01:10:18+00:00,0.4215,0.4215,0.4215,0.4215
BBC,90,Capturing the heart of Nigeria - and Mandela's socks https://t.co/7b5CiM3X5s,2019-11-04 01:10:18+00:00,0.0,0.0,0.0,0.0
BBC,91,California fires: Trump threatens to pull funds amid governor spat https://t.co/FuyeaSPfK6,2019-11-04 00:27:41+00:00,-0.3818,-0.3818,-0.3818,-0.3818
BBC,92,Yvette Lundy: French Resistance member who survived Nazi camps dies at 103 https://t.co/cQ6OeZGaFy,2019-11-03 23:48:25+00:00,0.5106,0.5106,0.5106,0.5106
BBC,93,Limerick: Arrest after boy is found dead in Ballynanty https://t.co/tW2fxDpfmb,2019-11-03 22:59:46+00:00,-0.7717,-0.7717,-0.7717,-0.7717
BBC,94,"RT @BBCSport: 🏆🏆🏆🏆🏆🏆

LEWIS HAMILTON WINS A SIXTH WORLD TITLE!

👉 https://t.co/vviDJ7Lh9q #USGrandPrix #bbcf1 https://t.co/lDauXVlAJO",2019-11-03 20:48:18+00:00,0.6932,0.6932,0.6932,0.6932
BBC,95,"RT @BBCSport: Bayern Munich have parted company with manager Niko Kovac.

More: https://t.co/97bfz1BIsn https://t.co/wJHh9Hwsvr",2019-11-03 20:08:10+00:00,0.0,0.0,0.0,0.0
BBC,96,Storm Amélie leaves thousands without electricity in France https://t.co/KHRDH5D1kh,2019-11-03 19:12:30+00:00,0.0,0.0,0.0,0.0
BBC,97,Ebola: Attackers kill DR Congo journalist shining light on virus https://t.co/w82CPi9gcl,2019-11-03 18:15:34+00:00,-0.8555,-0.8555,-0.8555,-0.8555
BBC,98,Venezuela crisis: El Salvador diplomats expelled amid row https://t.co/1UcdY0qogA,2019-11-03 18:15:30+00:00,-0.7269,-0.7269,-0.7269,-0.7269
BBC,99,"RT @BBCSport: An American football coach has been suspended after his team won a match by a huge margin.

👉 https://t.co/QfcB2jjEzl https:/…",2019-11-03 16:34:14+00:00,0.4404,0.4404,0.4404,0.4404
BBC,100,Japan festival to show 'comfort women' film amid backlash https://t.co/9IORvHum42,2019-11-03 13:50:47+00:00,0.6908,0.6908,0.6908,0.6908
CBS,1,"When Forrest and Delia are tasked with minding the snack shack, caloric chaos ensues. Catch new episodes of #TheUnicorn, Thursdays at 8:30/7:30c on CBS. https://t.co/OLEBwEZIBa",2019-11-05 21:55:02+00:00,-0.5719,-0.5719,-0.5719,-0.5719
CBS,2,@l_olayiwola #BobHeartsAbishola https://t.co/uJvxSlwbHy,2019-11-05 18:26:55+00:00,0.0,0.0,0.0,0.0
CBS,3,Looking to follow the new @AllRiseCBS Twitter and Instagram handles? We'll allow it. #AllRise https://t.co/S8iBLxdI4v,2019-11-05 02:09:15+00:00,0.2263,0.2263,0.2263,0.2263
CBS,4,RT @AllRiseCBS: All eyes on #AllRise. New episode starts NOW! 🎢 https://t.co/EA8g0td2uk,2019-11-05 02:01:51+00:00,0.0,0.0,0.0,0.0
CBS,5,@EMauraA The sock biz moves pretty quickly. #bobheartsabishola https://t.co/h8u08QMmYO,2019-11-05 02:01:33+00:00,0.4939,0.4939,0.4939,0.4939
CBS,6,We ❤️ watching #BobHeartsAbishola with you. Join us for a new episode in two weeks on 11/18 on CBS. https://t.co/7MCHkbjcin,2019-11-05 02:00:55+00:00,0.296,0.296,0.296,0.296
CBS,7,"@stef_j_30 Dottie's frustrated, alright. #bobheartsabishola https://t.co/orM5rX1hER",2019-11-05 01:53:54+00:00,-0.34,-0.34,-0.34,-0.34
CBS,8,@SahHtown #bobheartsabishola https://t.co/qyeyO04xUm,2019-11-05 01:50:51+00:00,0.0,0.0,0.0,0.0
CBS,9,@abpf91 @CEbersoleFans @TheFolake But there are limits to Abishola's help. #bobheartsabishola https://t.co/oiEldYkRBj,2019-11-05 01:47:33+00:00,0.5499,0.5499,0.5499,0.5499
CBS,10,@dreamgirl_steph #bobheartsabishola https://t.co/bLPRQGn1tJ,2019-11-05 01:46:31+00:00,0.0,0.0,0.0,0.0
CBS,11,#BobHeartsAbishola and Instagram. Show some ❤️ and follow the new account for exclusive content. https://t.co/7xuwcmMCRp,2019-11-05 01:44:59+00:00,0.128,0.128,0.128,0.128
CBS,12,The road to recovery is paved with ❤️. #BobHeartsAbishola https://t.co/2TNBaRFv09,2019-11-05 01:42:50+00:00,0.0,0.0,0.0,0.0
CBS,13,@1986Webber @TONYOK #bobheartsabishola https://t.co/zLViv4h0QJ,2019-11-05 01:40:54+00:00,0.0,0.0,0.0,0.0
CBS,14,@EMauraA Everybody ❤️ Dottie. #bobheartsabishola https://t.co/oRYU0EagnG,2019-11-05 01:40:02+00:00,0.0,0.0,0.0,0.0
CBS,15,@sean3528 Maybe they are. #bobheartsabishola https://t.co/OTcQNUbKKH,2019-11-05 01:37:52+00:00,0.0,0.0,0.0,0.0
CBS,16,@happymimi13 We ❤️ that they have Abishola's back. #bobheartsabishola https://t.co/tK4Tjf05Qt,2019-11-05 01:37:01+00:00,0.0,0.0,0.0,0.0
CBS,17,@rockster38181 We ❤️ that. #bobheartsabishola https://t.co/SoahXJjFYy,2019-11-05 01:35:49+00:00,0.0,0.0,0.0,0.0
CBS,18,@DelightfulDame We told you. #bobheartsabishola https://t.co/CIMOZYwj8s,2019-11-05 01:34:13+00:00,0.0,0.0,0.0,0.0
CBS,19,@AnneLaBarbera The book can't help with everything. #bobheartsabishola https://t.co/qV5DXTILE3,2019-11-05 01:33:06+00:00,-0.3089,-0.3089,-0.3089,-0.3089
CBS,20,@SunshineSaver Auntie will be so proud. #bobheartsabishola https://t.co/iFKBslIYTx,2019-11-05 01:31:15+00:00,0.6113,0.6113,0.6113,0.6113
CBS,21,Show some ❤️. An all-new #BobHeartsAbishola starts NOW. https://t.co/bfPWw4HJF9,2019-11-05 01:30:00+00:00,0.0,0.0,0.0,0.0
CBS,22,RT @TheNeighborhood: Say 'I do' to tonight's all-new episode of #TheNeighborhood at 8/7c on @CBS and @CBSAllAccess: https://t.co/zuE1XjKVL0…,2019-11-05 00:38:52+00:00,0.0,0.0,0.0,0.0
CBS,23,"#TheUnicorn's @iamRubyJay and @itsmakenziemoss share a sisterly bond both on and off screen. Enjoy this behind-the-scenes look at their playful dynamic, and catch them in new episodes of The Unicorn, Thursdays at 8:30/7:30c on CBS. https://t.co/HfYQsiteX7",2019-11-04 23:30:00+00:00,0.872,0.872,0.872,0.872
